cd_ibge;municipio;gde_regiao;mes;casos_novos;pop;pop_60;obitos;area
3539905;Poloni;Interior;Abril;0;5667;1140;0;13512
3540002;Pompéia;Interior;Abril;0;21282;3745;0;78467
3540101;Pongaí;Interior;Abril;0;3351;793;0;1834
3540200;Pontal;Interior;Abril;4;49283;4583;1;35637
3540259;Pontalinda;Interior;Abril;0;4487;679;0;20953
3540309;Pontes Gestal;Interior;Abril;0;2528;517;0;21751
3540408;Populina;Interior;Abril;3;3995;926;0;31594
3540507;Porangaba;Interior;Abril;0;9310;1838;0;26569
3540606;Porto Feliz;Interior;Abril;7;51697;8064;0;55671
3540705;Porto Ferreira;Interior;Abril;3;54102;8977;1;24491
3540754;Potim;Interior;Abril;0;20702;2159;0;4447
3540804;Potirendaba;Interior;Abril;0;16605;3085;0;34249
3540853;Pracinha;Interior;Abril;0;2913;291;0;6305
3540903;Pradópolis;Interior;Abril;1;20907;2717;0;16738
3541000;Praia Grande;Interior;Abril;133;316844;47218;27;14925
3541059;Pratânia;Interior;Abril;2;5156;629;0;1751
3541109;Presidente Alves;Interior;Abril;1;4020;775;0;28664
3541208;Presidente Bernardes;Interior;Abril;0;13720;2965;0;74923
3541307;Presidente Epitácio;Interior;Abril;1;42400;6951;0;126028
3541406;Presidente Prudente;Interior;Abril;21;221073;39118;2;56064
3541505;Presidente Venceslau;Interior;Abril;11;38005;7295;6;7552
3541604;Promissão;Interior;Abril;4;39667;6149;0;7792
3541653;Quadra;Interior;Abril;0;3708;641;0;20567
3541703;Quatá;Interior;Abril;3;13935;2058;0;65134
3541802;Queiroz;Interior;Abril;0;3279;408;0;23491
3541901;Queluz;Interior;Abril;0;12644;1688;0;2494
3542008;Quintana;Interior;Abril;2;6500;1157;0;31894
3542107;Rafard;Interior;Abril;0;8976;1373;0;12165
3542206;Rancharia;Interior;Abril;3;28847;5081;1;15875
3542305;Redenção da Serra;Interior;Abril;0;3837;763;0;30944
3542404;Regente Feijó;Interior;Abril;1;19491;3435;0;26328
3542503;Reginópolis;Interior;Abril;0;7215;1037;0;41041
3542602;Registro;Interior;Abril;11;54216;8438;3;7222
3542701;Restinga;Interior;Abril;0;7493;946;0;24575
3542800;Ribeira;Interior;Abril;0;3242;633;0;33576
3542909;Ribeirão Bonito;Interior;Abril;0;12959;1890;0;47155
3543006;Ribeirão Branco;Interior;Abril;1;17685;2214;0;6975
3543105;Ribeirão Corrente;Interior;Abril;0;4664;655;0;14833
3543204;Ribeirão do Sul;Interior;Abril;0;4360;892;0;20321
3543238;Ribeirão dos Índios;Interior;Abril;0;2141;503;0;19645
3543253;Ribeirão Grande;Interior;Abril;0;7510;1162;0;33336
3543303;Ribeirão Pires;RMSP (exceto capital);Abril;62;118968;19424;5;9908
3543402;Ribeirão Preto;Interior;Abril;107;683777;110330;7;65092
3543501;Riversul;Interior;Abril;0;5705;1113;0;38588
3543600;Rifaina;Interior;Abril;0;3468;669;0;16251
3543709;Rincão;Interior;Abril;1;10496;1642;1;31664
3543808;Rinópolis;Interior;Abril;1;9720;2130;0;35848
3543907;Rio Claro;Interior;Abril;18;201212;33922;8;49842
3544004;Rio das Pedras;Interior;Abril;1;34416;4227;0;22666
3544103;Rio Grande da Serra;RMSP (exceto capital);Abril;22;49816;5829;0;3634
3544202;Riolândia;Interior;Abril;0;11431;1461;0;6319
3544251;Rosana;Interior;Abril;0;18387;3132;0;74401
3544301;Roseira;Interior;Abril;0;10642;1468;0;13065
3544400;Rubiácea;Interior;Abril;0;3106;429;0;23648
3544509;Rubinéia;Interior;Abril;0;2989;720;0;24288
3544608;Sabino;Interior;Abril;0;5468;1103;0;30529
3544707;Sagres;Interior;Abril;0;2362;507;0;14794
3544806;Sales;Interior;Abril;0;6050;1165;0;30856
3544905;Sales Oliveira;Interior;Abril;0;11518;2044;0;30578
3545001;Salesópolis;RMSP (exceto capital);Abril;2;16838;2512;1;425
3545100;Salmourão;Interior;Abril;0;5117;923;0;17293
3545159;Saltinho;Interior;Abril;1;7860;1479;0;9974
3545209;Salto;Interior;Abril;8;115372;16885;0;13306
3545308;Salto de Pirapora;Interior;Abril;6;44223;6579;0;28051
3545407;Salto Grande;Interior;Abril;1;9095;1625;0;18844
3545506;Sandovalina;Interior;Abril;0;4211;550;0;45586
3545605;Santa Adélia;Interior;Abril;0;14892;2584;0;33027
3545704;Santa Albertina;Interior;Abril;0;5672;1304;0;27269
3545803;Santa Bárbara d'Oeste;Interior;Abril;6;188745;31384;1;27103
3546009;Santa Branca;Interior;Abril;2;14179;2465;1;27224
3546108;Santa Clara d'Oeste;Interior;Abril;0;2006;448;0;18346
3546207;Santa Cruz da Conceição;Interior;Abril;1;4349;860;0;15013
3546256;Santa Cruz da Esperança;Interior;Abril;0;2077;377;0;14806
3546306;Santa Cruz das Palmeiras;Interior;Abril;0;33729;4721;0;29534
3546405;Santa Cruz do Rio Pardo;Interior;Abril;15;46110;8329;0;111475
3546504;Santa Ernestina;Interior;Abril;0;5525;728;0;13442
3546603;Santa Fé do Sul;Interior;Abril;4;30804;6215;0;20654
3546702;Santa Gertrudes;Interior;Abril;1;26189;2736;0;9829
3546801;Santa Isabel;RMSP (exceto capital);Abril;12;55086;8115;5;36333
3546900;Santa Lúcia;Interior;Abril;4;8562;1150;0;15403
3547007;Santa Maria da Serra;Interior;Abril;1;6141;793;0;25262
3547106;Santa Mercedes;Interior;Abril;0;2813;503;0;16675
3547205;Santana da Ponte Pensa;Interior;Abril;0;1509;444;0;12989
3547304;Santana de Parnaíba;RMSP (exceto capital);Abril;116;138132;16604;3;17995
